id,大テーマ,中テーマ,キーワード
T05-03-003,データベースとバックエンド,DAL & データ操作,SNSタイムラインにシードデータを表示してみよう
T05-03-004,データベースとバックエンド,DAL & データ操作,プロフィールページでもシードデータを表示してみよう
T05-03-005,データベースとバックエンド,DAL & データ操作,データフェッチをDALに分けて実装しよう
T06-01-001,フロントエンド基礎,React基礎,フロントエンドとは
T06-01-002,フロントエンド基礎,React基礎,Reactとは
T06-02-001,フロントエンド基礎,v0 & UI生成,v0とは
T06-02-002,フロントエンド基礎,v0 & UI生成,v0でフロントエンドを作ってみよう
T06-02-003,フロントエンド基礎,v0 & UI生成,v0で作ったUIをCursorに取り込もう
T06-03-001,フロントエンド基礎,レスポンシブ対応,レスポンシブ対応してみよう
T06-03-002,フロントエンド基礎,レスポンシブ対応,スマホサイズ表示の細かいUI修正をしよう
T06-03-003,フロントエンド基礎,レスポンシブ対応,スマホサイズ表示の細かいUI修正をしよう：その②
T07-01-001,AI駆動ワークフロー,Cursor Composer,CursorでAI駆動開発をはじめよう
T07-01-002,AI駆動ワークフロー,Cursor Composer,CursorのComposer機能を使ってファイルを自動生成させよう
T07-02-001,AI駆動ワークフロー,.cursorrules,.cursorrulesを作成してCursorにルール設定をしてみよう
T07-02-002,AI駆動ワークフロー,.cursorrules,.cursorrulesの見直しとリファクタリング
T07-03-001,AI駆動ワークフロー,Agentモード,AIで修正するのが面倒な時の対処法
T07-03-002,AI駆動ワークフロー,Agentモード,CursorのAgentモードでコード全体をリファクタリングしてみよう
T08-01-001,状態管理とデータフロー,Server Actions,ポスト投稿にはServerActionsを利用しよう
T08-01-002,状態管理とデータフロー,Server Actions,Server Actionsで編集機能を実装しよう
T08-02-001,状態管理とデータフロー,アクションステート,useActionStateを使ったリファクタリングをしよう
T08-03-001,状態管理とデータフロー,楽観的更新,useOptimisticを使った楽観的に更新を実装しよう
T09-01-001,認証とセキュリティ,Clerk認証,Clerkでユーザー認証を始めよう
T09-01-002,認証とセキュリティ,Clerk認証,ユーザー操作時に認証用ポップアップを表示させよう
T09-01-003,認証とセキュリティ,Clerk認証,ユーザーアイコンを追加してログアウトできるようにしよう
T09-01-004,認証とセキュリティ,Clerk認証,usersテーブルの修正とユーザー認証後にデータ保存しよう
T09-02-001,認証とセキュリティ,Webhook & ルール,ユーザー認証後にWebhookを発火させよう
T09-02-002,認証とセキュリティ,Webhook & ルール,clerkIdカラムの追加とWebhookテストをしよう
T09-02-003,認証とセキュリティ,Webhook & ルール,Project Rulesを追加しよう
T09-03-001,認証とセキュリティ,ミドルウェア & セキュリティチェック,ミドルウェアでClerk用のAPIをパブリックに修正しよう
T09-03-002,認証とセキュリティ,ミドルウェア & セキュリティチェック,【注意】デプロイ前はセキュリティチェックをしよう
T10-01-001,機能実装,SNS基本機能,ポストへの返信も表示できるようにしよう
T10-01-002,機能実装,SNS基本機能,ポストへの返信の細かい修正をしよう
T10-01-003,機能実装,SNS基本機能,いいね機能を実装しよう
T10-01-004,機能実装,SNS基本機能,いいねアイコンを切り替えよう
T10-01-005,機能実装,SNS基本機能,プロフィールページのUIを修正しよう
T10-01-006,機能実装,SNS基本機能,Parallel RoutesとIntercepting Routesでモダール表示してみよう
T10-01-007,機能実装,SNS基本機能,フォロー/アンフォロー機能を実装しよう
T10-01-008,機能実装,SNS基本機能,ポ스트への返信機能を実装しよう
T10-02-001,機能実装,画像アップロード,カバー画像アップロード機能を実装しよう
T10-02-002,機能実装,画像アップロード,Supabase Storage Bucketのポリシー設定を変更しよう
T11-02-001,テスト・リファクタリング・品質保証,テスト & QA,エラーの投げ方１：フロントエンド
T11-02-002,テスト・リファクタリング・品質保証,テスト & QA,エラーの投げ方２：バックエンド
T12-01-001,デプロイと運用,GitHub & ブランチ運用,GitHubの用意と開発用ブランチに切って開発しよう
T12-01-002,デプロイと運用,GitHub & ブランチ運用,ローカルでビルドしてみよう
T12-02-001,デプロイと運用,ngrok & 外部公開,ngrokを使って一時的にサーバーをパブリックに公開してみよう
T12-03-001,デプロイと運用,Vercelデプロイ,Vercelへデプロイしてみよう
T12-03-002,デプロイと運用,Vercelデプロイ,Vercelとは
T12-04-001,デプロイと運用,ボーナス & 運用Tips,ボーナスレクチャー
